Unnamed: 0,fire_name,fire_size,fire_size_class,stat_cause_descr,latitude,longitude,state,disc_clean_date,cont_clean_date,discovery_month,disc_date_final,cont_date_final,putout_time,disc_date_pre,disc_pre_year,disc_pre_month,wstation_usaf,dstation_m,wstation_wban,wstation_byear,wstation_eyear,Vegetation,fire_mag,weather_file,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont,remoteness
44828,NO MORE SHED,1,B,Debris Burning,35.2333,-78.95,NC,2/3/01,,Feb,,,,1/4/01,2001,Jan,723030,8494.014695,13714,1990,2009,15,0.1,723030-99999-2001.gz,6.29689441,7.356435644,8.87431694,8.444444444,2.537844612,2.917884131,3.017514124,3.000985222,63.58890469,60.57636888,58.29166667,63.7912844,19.4,17.6,0.5,54.2,0.10683842
44840,VON ZIPPER,2,B,Miscellaneous,34.9333,-78.6,NC,4/5/04,,Apr,,,,3/6/04,2004,Mar,722073,22070.26043,3727,1948,2020,16,0.1,722073-99999-2004.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10395163
44848,,2,B,Miscellaneous,35.85817,-77.56084,NC,4/3/09,,Apr,,,,3/4/09,2009,Mar,723068,29114.65138,99999,1943,2020,15,0.1,723068-93759-2009.gz,11.21546085,12.79433962,15.9049505,16.41958637,2.451833499,2.321320755,2.336963696,3.405109489,73.52515723,73.90927419,79.56043956,64.32844933,99.8,51.5,37.3,31.2,0.094288676
44849,,10,C,Debris Burning,35.77166667,-82.435,NC,4/14/94,4/14/94,Apr,4/14/94 15:15,4/14/94 18:30,0 days 00:00:00.000000000,3/15/94,1994,Mar,723148,74686.07309,63859,1973,2010,15,1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.13734374
44858,,5,B,Smoking,34.795,-79.4017,NC,2/20/92,,Feb,,,,1/21/92,1992,Jan,723109,3284.061045,93782,1973,2020,16,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.111083899
44865,MANEY BRANCH FIRE,1.5,B,Arson,35.72631667,-82.4631,NC,4/14/13,4/14/13,Apr,4/14/13 18:48,4/14/13 19:56,0 days 00:00:00.000000000,3/15/13,2013,Mar,999999,29079.5865,53877,2010,2014,15,0.1,999999-54918-2013.gz,-0.723611111,2.163055556,0.458928571,0,4.69009009,4.834640523,4.392982456,0,77.68719611,74.03041825,90,0,0,0,0,0,0.137621165
44870,TOMMY,2.5,B,Debris Burning,36.1817,-79.3983,NC,3/3/99,,Mar,,,,2/1/99,1999,Feb,722193,38968.39397,3722,1973,2020,0,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.110212603
44882,OXYGEN BOTTLE,1.1,B,Miscellaneous,35.8,-82.6833,NC,11/4/00,,Nov,,,,10/5/00,2000,Oct,723150,42899.91469,3812,1999,2005,15,0.1,723150-03812-2000.gz,12.73182286,13.82919132,13.17439614,5.992835821,2.231568017,1.44510978,1.985507246,2.976814516,64.9157754,68.40369393,56.99447514,73.02109181,1.2,0,0,218.6,0.139539702
44896,EARLY BIRD,1.5,B,Debris Burning,36.1333,-78.5667,NC,11/10/00,,Nov,,,,10/11/00,2000,Oct,722141,24583.77336,3731,1973,2005,0,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.102933263
44902,,5,B,Missing/Undefined,34.53432,-79.08615,NC,4/5/07,,Apr,,,,3/6/07,2007,Mar,723109,38407.27228,93782,1973,2020,16,0.1,723109-93782-2007.gz,14.56479903,17.97416021,17.76918919,16.23178392,3.146894032,3.134883721,3.506486486,3.860678392,65.79699248,67.5926893,67.8,57.89240506,62.2,2.5,2.5,51.6,0.108473818
